,canonized_url,date,original_url,mime_type,response_code,old_checksum,length,raw_url,archive_url
44,"com,twitter)/joebiden",20081113001054,http://twitter.com/joebiden,text/html,200,XLB7D46PPE4FO2NRQPHP3OEMYIMLRZ2D,9057,https://web.archive.org/web/20081113001054_id/http://twitter.com/joebiden,https://web.archive.org/web/20081113001054/http://twitter.com/joebiden
45,"com,twitter)/joebiden",20081116141408,http://twitter.com/joebiden/,text/html,200,2OG73REEYFBGL7T7MTXWHDYLBLI4K6WE,8975,https://web.archive.org/web/20081116141408_id/http://twitter.com/joebiden/,https://web.archive.org/web/20081116141408/http://twitter.com/joebiden/
46,"com,twitter)/joebiden",20081116141408,http://twitter.com/joebiden/,text/html,200,2OG73REEYFBGL7T7MTXWHDYLBLI4K6WE,8975,https://web.archive.org/web/20081116141408_id/http://twitter.com/joebiden/,https://web.archive.org/web/20081116141408/http://twitter.com/joebiden/
47,"com,twitter)/joebiden",20081118014326,https://twitter.com/joebiden,text/html,200,R6NI6TO4MWBXNBDYS6Q42FOAEG6TXYCB,9092,https://web.archive.org/web/20081118014326_id/https://twitter.com/joebiden,https://web.archive.org/web/20081118014326/https://twitter.com/joebiden
48,"com,twitter)/joebiden",20081118014326,https://twitter.com/joebiden,text/html,200,R6NI6TO4MWBXNBDYS6Q42FOAEG6TXYCB,9092,https://web.archive.org/web/20081118014326_id/https://twitter.com/joebiden,https://web.archive.org/web/20081118014326/https://twitter.com/joebiden
49,"com,twitter)/joebiden",20081118014326,https://twitter.com/joebiden,text/html,200,R6NI6TO4MWBXNBDYS6Q42FOAEG6TXYCB,9257,https://web.archive.org/web/20081118014326_id/https://twitter.com/joebiden,https://web.archive.org/web/20081118014326/https://twitter.com/joebiden
50,"com,twitter)/joebiden",20081118014326,https://twitter.com/joebiden,text/html,200,R6NI6TO4MWBXNBDYS6Q42FOAEG6TXYCB,9257,https://web.archive.org/web/20081118014326_id/https://twitter.com/joebiden,https://web.archive.org/web/20081118014326/https://twitter.com/joebiden
51,"com,twitter)/joebiden",20081119195001,http://twitter.com/joebiden,text/html,200,VAV2BLLGZQL2JG2F2KIKJGMCU3SNOG4S,8753,https://web.archive.org/web/20081119195001_id/http://twitter.com/joebiden,https://web.archive.org/web/20081119195001/http://twitter.com/joebiden
52,"com,twitter)/joebiden",20081119222716,http://twitter.com/joebiden,text/html,200,2HDAFRYC7QWWC7TOQGYDUPZH6AXSMRGP,8759,https://web.archive.org/web/20081119222716_id/http://twitter.com/joebiden,https://web.archive.org/web/20081119222716/http://twitter.com/joebiden
53,"com,twitter)/joebiden",20081119222716,http://twitter.com/joebiden,text/html,200,2HDAFRYC7QWWC7TOQGYDUPZH6AXSMRGP,8759,https://web.archive.org/web/20081119222716_id/http://twitter.com/joebiden,https://web.archive.org/web/20081119222716/http://twitter.com/joebiden
54,"com,twitter)/joebiden",20081120073259,https://twitter.com/joebiden,text/html,200,GU76KAY6UB3MPVJUCI66XBIC3BRRBHTK,8764,https://web.archive.org/web/20081120073259_id/https://twitter.com/joebiden,https://web.archive.org/web/20081120073259/https://twitter.com/joebiden
55,"com,twitter)/joebiden",20081122170941,http://twitter.com/joebiden/,text/html,200,EVCOZWCIKTVAWXSUU7T2R4EVL3LITT52,8764,https://web.archive.org/web/20081122170941_id/http://twitter.com/joebiden/,https://web.archive.org/web/20081122170941/http://twitter.com/joebiden/
56,"com,twitter)/joebiden",20081122170941,http://twitter.com/joebiden/,text/html,200,EVCOZWCIKTVAWXSUU7T2R4EVL3LITT52,8764,https://web.archive.org/web/20081122170941_id/http://twitter.com/joebiden/,https://web.archive.org/web/20081122170941/http://twitter.com/joebiden/
57,"com,twitter)/joebiden",20081126195258,http://twitter.com/joebiden,text/html,200,X62RKWTYVK4B4IVZFJ4DJJEIFWEQ24QU,8743,https://web.archive.org/web/20081126195258_id/http://twitter.com/joebiden,https://web.archive.org/web/20081126195258/http://twitter.com/joebiden
58,"com,twitter)/joebiden",20081126211054,http://twitter.com/joebiden,text/html,200,SX4RPD7PCPW766E3JABP5M6OX6XS7PTH,8746,https://web.archive.org/web/20081126211054_id/http://twitter.com/joebiden,https://web.archive.org/web/20081126211054/http://twitter.com/joebiden
59,"com,twitter)/joebiden",20081126211054,http://twitter.com/joebiden,text/html,200,SX4RPD7PCPW766E3JABP5M6OX6XS7PTH,8746,https://web.archive.org/web/20081126211054_id/http://twitter.com/joebiden,https://web.archive.org/web/20081126211054/http://twitter.com/joebiden
60,"com,twitter)/joebiden",20081126212258,https://twitter.com/joebiden,text/html,200,RH5IGWCYK67OF6W3VKYI77G5IM6K7Y76,8762,https://web.archive.org/web/20081126212258_id/https://twitter.com/joebiden,https://web.archive.org/web/20081126212258/https://twitter.com/joebiden
